date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:32	164352/164352	---M--	200	added ('OK')	font/woff	etag:%22645c577a-28200%22	https://ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?24e3eb84d0bcaf83d77f904c78ac1f47	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsbf04.woff	(from https://ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/bootstrap-icons.css)
01:24:32	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22645c577a-6271c%22	https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.eot?t=1590207869815	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicondf6d.eot	(from https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.css)
01:24:34	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%22645c577a-1e954%22	https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.woff2?t=1590207869815	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicondf6d.woff2	(from https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.css)
01:24:35	172876/172876	---M--	200	added ('OK')	font/woff	etag:%22645c577a-2a34c%22	https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.woff?t=1590207869815	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicondf6d.woff	(from https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.css)
01:24:36	403056/403056	---M-Z	200	added ('OK')	font/ttf	etag:W/%22645c577a-62670%22	https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.ttf?t=1590207869815	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicondf6d.ttf	(from https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.css)
01:24:37	1195522/1195522	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22645c577a-123e02%22	https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.svg?t=1590207869815	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicondf6d.svg	(from https://ferdiz-afk.github.io/Nice/assets/vendor/remixicon/remixicon.css)
01:24:37	5265/5265	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226448c874-1491%22	https://dropways.github.io/deskapp/vendors/styles/mCSB_buttons.png	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/styles/mCSB_buttons.png	(from https://dropways.github.io/deskapp/vendors/styles/core.css)
01:24:38	7610/7610	---M--	200	added ('OK')	image/png	etag:%226448c874-1dba%22	https://dropways.github.io/deskapp/vendors/images/wave.png	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/images/wave.png	(from https://dropways.github.io/deskapp/vendors/styles/style.css)
01:24:39	695/695	---M--	200	added ('OK')	image/png	etag:%226448c874-2b7%22	https://dropways.github.io/deskapp/vendors/images/check-mark-green.png	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/images/check-mark-green.png	(from https://dropways.github.io/deskapp/vendors/styles/style.css)
01:24:39	788/788	---M--	200	added ('OK')	image/png	etag:%226448c874-314%22	https://dropways.github.io/deskapp/vendors/images/caution-sign.png	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/images/caution-sign.png	(from https://dropways.github.io/deskapp/vendors/styles/style.css)
